date,narration,utr,credit_amount,settlement_id_hint
2026-11-22,NEFT CR RAZORPAY SETTLEMENT 5575e840,UTR592981884718,119377.25,setl_d80e635575e840
2026-11-24,NEFT CR RAZORPAY SETTLEMENT 69a7aa47,UTR675985898090,103811.68,setl_7a70b869a7aa47
2026-11-26,NEFT CR RAZORPAY SETTLEMENT 3fc8bc49,UTR693921947968,136458.82,setl_cff2753fc8bc49
2026-11-28,NEFT CR RAZORPAY SETTLEMENT 6b640547,UTR396304647646,99101.8,setl_fe3c696b640547
2026-11-30,NEFT CR RAZORPAY SETTLEMENT f7107b41,UTR465552215955,71514.67,setl_fee311f7107b41
2026-12-02,NEFT CR RAZORPAY SETTLEMENT 44412645,UTR027233194785,96854.95,setl_d9955c44412645
2026-12-04,NEFT CR RAZORPAY SETTLEMENT adbc344c,UTR721247624069,56653.85,setl_0807a6adbc344c
2026-12-06,NEFT CR RAZORPAY SETTLEMENT c898b641,,147307.24,setl_ef62e7c898b641
2026-12-08,NEFT CR RAZORPAY SETTLEMENT 8b1d184b,UTR430853496527,36846.04,setl_9cb6238b1d184b
2026-12-10,NEFT CR RAZORPAY SETTLEMENT 7269a64d,UTR509940733251,115856.8,setl_5b6b137269a64d
2026-12-12,NEFT CR RAZORPAY SETTLEMENT 15052c47,UTR298634008050,91753.54,setl_52ca1e15052c47
2026-12-14,NEFT CR RAZORPAY SETTLEMENT aeae2445,UTR761029989436,70439.12,setl_f3d05aaeae2445
2026-12-16,NEFT CR RAZORPAY SETTLEMENT 7efc7841,UTR642406557666,79897.84,setl_826d467efc7841
2026-12-18,NEFT CR RAZORPAY SETTLEMENT 50a4004e,UTR345531858508,155764.71,setl_1e467550a4004e
2026-12-20,NEFT CR RAZORPAY SETTLEMENT c168e44a,UTR998149712386,91790.04,setl_3a1552c168e44a
2026-12-22,NEFT CR RAZORPAY SETTLEMENT fb13b24d,UTR818350164181,89494.03,setl_73baf7fb13b24d
2026-12-24,NEFT CR RAZORPAY SETTLEMENT 4e18034b,UTR699247422531,103440.66,setl_af85d94e18034b
2026-12-26,NEFT CR RAZORPAY SETTLEMENT 0d0be34f,UTR781656006042,138794.81,setl_6ac7af0d0be34f
2026-12-28,NEFT CR RAZORPAY SETTLEMENT 5a56124c,UTR529795998373,64422.5,setl_20ec645a56124c
2026-12-30,NEFT CR RAZORPAY SETTLEMENT 21416644,UTR987611052139,58595.89,setl_df624421416644
2027-01-01,NEFT CR RAZORPAY SETTLEMENT 30e02040,UTR830643228954,123513.72,setl_2b3c9230e02040
2027-01-03,NEFT CR RAZORPAY SETTLEMENT 45389046,UTR088659948527,151106.87,setl_ebc39245389046
2027-01-05,NEFT CR RAZORPAY SETTLEMENT 6b13d64a,UTR059956506960,86742.47,setl_37166f6b13d64a
2027-01-07,NEFT CR RAZORPAY SETTLEMENT 55598c4a,UTR754628151617,110244.6,setl_edb4dc55598c4a
2027-01-09,NEFT CR RAZORPAY SETTLEMENT 9d840540,UTR220886533817,28419.22,setl_c453979d840540
