date,narration,utr,credit_amount
2026-11-22,NEFT CR RAZORPAY SETTLEMENT 5575e840,UTR592981884718,119377.25
2026-11-24,NEFT CR RAZORPAY SETTLEMENT 69a7aa47,UTR675985898090,103811.68
2026-11-26,NEFT CR RAZORPAY SETTLEMENT 3fc8bc49,UTR693921947968,136458.82
2026-11-28,NEFT CR RAZORPAY SETTLEMENT 6b640547,UTR396304647646,99101.8
2026-11-30,NEFT CR RAZORPAY SETTLEMENT f7107b41,UTR465552215955,71514.67
2026-12-02,NEFT CR RAZORPAY SETTLEMENT 44412645,UTR027233194785,96854.95
2026-12-04,NEFT CR RAZORPAY SETTLEMENT adbc344c,UTR721247624069,56653.85
2026-12-06,NEFT CR RAZORPAY SETTLEMENT c898b641,,147307.24
2026-12-08,NEFT CR RAZORPAY SETTLEMENT 8b1d184b,UTR430853496527,36846.04
2026-12-10,NEFT CR RAZORPAY SETTLEMENT 7269a64d,UTR509940733251,115856.8
2026-12-12,NEFT CR RAZORPAY SETTLEMENT 15052c47,UTR298634008050,91753.54
2026-12-14,NEFT CR RAZORPAY SETTLEMENT aeae2445,UTR761029989436,70439.12
2026-12-16,NEFT CR RAZORPAY SETTLEMENT 7efc7841,UTR642406557666,79897.84
2026-12-18,NEFT CR RAZORPAY SETTLEMENT 50a4004e,UTR345531858508,155764.71
2026-12-20,NEFT CR RAZORPAY SETTLEMENT c168e44a,UTR998149712386,91790.04
2026-12-22,NEFT CR RAZORPAY SETTLEMENT fb13b24d,UTR818350164181,89494.03
2026-12-24,NEFT CR RAZORPAY SETTLEMENT 4e18034b,UTR699247422531,103440.66
2026-12-26,NEFT CR RAZORPAY SETTLEMENT 0d0be34f,UTR781656006042,138794.81
2026-12-28,NEFT CR RAZORPAY SETTLEMENT 5a56124c,UTR529795998373,64422.5
2026-12-30,NEFT CR RAZORPAY SETTLEMENT 21416644,UTR987611052139,58595.89
2027-01-01,NEFT CR RAZORPAY SETTLEMENT 30e02040,UTR830643228954,123513.72
2027-01-03,NEFT CR RAZORPAY SETTLEMENT 45389046,UTR088659948527,151106.87
2027-01-05,NEFT CR RAZORPAY SETTLEMENT 6b13d64a,UTR059956506960,86742.47
2027-01-07,NEFT CR RAZORPAY SETTLEMENT 55598c4a,UTR754628151617,110244.6
2027-01-09,NEFT CR RAZORPAY SETTLEMENT 9d840540,UTR220886533817,28419.22
