settlement_id,settlement_date,reserve_hold_amount,reserve_released_amount,release_due_date
setl_d80e635575e840,2026-11-20,6113.13,6113.13,2027-03-20
setl_7a70b869a7aa47,2026-11-22,5376.16,5376.16,2027-03-22
setl_cff2753fc8bc49,2026-11-24,7128.8,7128.8,2027-03-24
setl_fe3c696b640547,2026-11-26,5183.4,5183.4,2027-03-26
setl_fee311f7107b41,2026-11-28,3728.59,3728.59,2027-03-28
setl_d9955c44412645,2026-11-30,4959.8,4959.8,2027-03-30
setl_0807a6adbc344c,2026-12-02,2901.16,2901.16,2027-04-01
setl_ef62e7c898b641,2026-12-04,7631.99,7631.99,2027-04-03
setl_9cb6238b1d184b,2026-12-06,1909.92,1909.92,2027-04-05
setl_5b6b137269a64d,2026-12-08,5978.21,5978.21,2027-04-07
setl_52ca1e15052c47,2026-12-10,4722.01,4722.01,2027-04-09
setl_f3d05aaeae2445,2026-12-12,3699.45,3699.45,2027-04-11
setl_826d467efc7841,2026-12-14,4130.72,4130.72,2027-04-13
setl_1e467550a4004e,2026-12-16,8391.27,8391.27,2027-04-15
setl_3a1552c168e44a,2026-12-18,4729.01,4729.01,2027-04-17
setl_73baf7fb13b24d,2026-12-20,4582.86,4582.86,2027-04-19
setl_af85d94e18034b,2026-12-22,5297.04,5297.04,2027-04-21
setl_6ac7af0d0be34f,2026-12-24,7233.94,7233.94,2027-04-23
setl_20ec645a56124c,2026-12-26,3621.2,0.0,2027-04-25
setl_df624421416644,2026-12-28,3000.61,3000.61,2027-04-27
setl_2b3c9230e02040,2026-12-30,6495.91,6495.91,2027-04-29
setl_ebc39245389046,2027-01-01,8040.49,8040.49,2027-05-01
setl_37166f6b13d64a,2027-01-03,4468.88,4468.88,2027-05-03
setl_edb4dc55598c4a,2027-01-05,5790.87,5790.87,2027-05-05
setl_c453979d840540,2027-01-07,1744.11,1744.11,2027-05-07
