order_id,order_date,invoice_amount,customer_ref,gst_period
order_65d1de39a73842,2026-11-19,41559.93,CUST7383,2026-11
order_b4b9f7b7f53a40,2026-11-18,39513.4,CUST2277,2026-11
order_f70ac6752da34e,2026-11-18,5109.41,CUST1020,2026-11
order_2eda53a3019449,2026-11-18,13278.87,CUST4435,2026-11
order_0eea991e4d5a45,2026-11-18,22801.04,CUST1558,2026-11
order_eefd20d3d5b14b,2026-11-21,985.67,CUST7279,2026-11
order_68c2b41d01864d,2026-11-21,17260.84,CUST2046,2026-11
order_ebb819ab26dc41,2026-11-20,39941.61,CUST2549,2026-11
order_1b136e0654a04c,2026-11-21,6012.97,CUST5336,2026-11
order_181702a4f52042,2026-11-20,37268.11,CUST9150,2026-11
order_295e8da527d94a,2026-11-20,6054.09,CUST7919,2026-11
order_302d769af8cd47,2026-11-22,40546.8,CUST8110,2026-11
order_271d2a7966ef4b,2026-11-23,30692.62,CUST7483,2026-11
order_7442e6a00f5a4a,2026-11-23,38898.63,CUST8832,2026-11
order_d0c003da627845,2026-11-23,6640.29,CUST3565,2026-11
order_2306c9a3026b47,2026-11-22,25797.73,CUST2595,2026-11
order_c2dd9b00e8e445,2026-11-25,993.34,CUST3706,2026-11
order_0d893650dcf345,2026-11-24,22609.28,CUST2001,2026-11
order_f1a773ad25064a,2026-11-24,21364.14,CUST9475,2026-11
order_9c4a8cf4b90549,2026-11-25,6178.84,CUST3939,2026-11
order_16d3ea2393a741,2026-11-24,14258.46,CUST6361,2026-11
order_36567f6e7d7a4d,2026-11-25,38263.98,CUST8466,2026-11
order_6826c62d37c147,2026-11-27,1469.88,CUST3648,2026-11
order_7933d5a591f044,2026-11-26,18491.44,CUST6742,2026-11
order_7aa9c1050fc049,2026-11-27,33817.39,CUST8343,2026-11
order_bf6ecc39626742,2026-11-26,20793.08,CUST5476,2026-11
order_964fab5f1e2844,2026-11-29,19360.15,CUST5609,2026-11
order_8385b1c0f9af45,2026-11-29,44698.63,CUST9549,2026-11
order_e0565e8b72c748,2026-11-28,6621.45,CUST8407,2026-11
order_7cf24969918846,2026-11-28,28515.75,CUST8560,2026-11
order_f939a4dcafc44c,2026-11-30,33067.06,CUST6002,2026-11
order_e4106db9d79646,2026-12-01,4473.2,CUST1270,2026-12
order_9922cd2c6f594f,2026-11-30,20482.93,CUST6082,2026-11
