settlement_id,order_id,payment_id,order_date,settlement_date,gross_amount,mdr_fee,gst_on_mdr,refund_amount,chargeback_amount
setl_d80e635575e840,order_65d1de39a73842,pay_8677a648577647,2026-11-19,2026-11-20,41559.93,831.2,149.62,0.0,0.0
setl_d80e635575e840,order_b4b9f7b7f53a40,pay_fc88bd028f6544,2026-11-18,2026-11-20,39513.4,790.27,142.25,0.0,0.0
setl_d80e635575e840,order_f70ac6752da34e,pay_c86bd388f23d46,2026-11-18,2026-11-20,5109.41,102.19,18.39,0.0,0.0
setl_d80e635575e840,order_2eda53a3019449,pay_a4ef8d46f15e42,2026-11-18,2026-11-20,13278.87,265.58,47.8,0.0,0.0
setl_d80e635575e840,order_0eea991e4d5a45,pay_dc02238c76c64a,2026-11-18,2026-11-20,22801.04,456.02,82.08,0.0,0.0
setl_7a70b869a7aa47,order_eefd20d3d5b14b,pay_3f3ecc7e092143,2026-11-21,2026-11-22,985.67,19.71,3.55,0.0,0.0
setl_7a70b869a7aa47,order_68c2b41d01864d,pay_477c4d5e440849,2026-11-21,2026-11-22,17260.84,345.22,62.14,0.0,0.0
setl_7a70b869a7aa47,order_ebb819ab26dc41,pay_7e3df38ef5c840,2026-11-20,2026-11-22,39941.61,798.83,143.79,0.0,0.0
setl_7a70b869a7aa47,order_1b136e0654a04c,pay_801c579d9dc742,2026-11-21,2026-11-22,6012.97,120.26,21.65,0.0,1174.07
setl_7a70b869a7aa47,order_181702a4f52042,pay_5570e702c1de48,2026-11-20,2026-11-22,37268.11,745.36,134.16,0.0,0.0
setl_7a70b869a7aa47,order_295e8da527d94a,pay_a67e1822acb64b,2026-11-20,2026-11-22,6054.09,121.08,21.79,0.0,0.0
setl_cff2753fc8bc49,order_302d769af8cd47,pay_371ba29d2fc247,2026-11-22,2026-11-24,40546.8,810.94,145.97,0.0,0.0
setl_cff2753fc8bc49,order_271d2a7966ef4b,pay_0670af85cb8447,2026-11-23,2026-11-24,30692.62,613.85,110.49,0.0,0.0
setl_cff2753fc8bc49,order_7442e6a00f5a4a,pay_fe48a1dd417244,2026-11-23,2026-11-24,38898.63,777.97,140.03,0.0,0.0
setl_cff2753fc8bc49,order_d0c003da627845,pay_3773182c3b3c48,2026-11-23,2026-11-24,6640.29,132.81,23.91,188.17,0.0
setl_cff2753fc8bc49,order_2306c9a3026b47,pay_57cce1b7b4924a,2026-11-22,2026-11-24,25797.73,515.95,92.87,2564.29,0.0
setl_fe3c696b640547,order_c2dd9b00e8e445,pay_eef5d6b2575e42,2026-11-25,2026-11-26,993.34,19.87,3.58,0.0,0.0
setl_fe3c696b640547,order_0d893650dcf345,pay_196d4b65a50249,2026-11-24,2026-11-26,22609.28,452.19,81.39,0.0,0.0
setl_fe3c696b640547,order_f1a773ad25064a,pay_6c99adba3d504f,2026-11-24,2026-11-26,21364.14,427.28,76.91,127.93,0.0
setl_fe3c696b640547,order_9c4a8cf4b90549,pay_77d360f92f394b,2026-11-25,2026-11-26,6178.84,123.58,22.24,0.0,0.0
setl_fe3c696b640547,order_16d3ea2393a741,pay_9fadeddf88b74e,2026-11-24,2026-11-26,14258.46,285.17,51.33,0.0,1991.74
setl_fe3c696b640547,order_36567f6e7d7a4d,pay_2945e35e84af4e,2026-11-25,2026-11-26,38263.98,765.28,137.75,0.0,0.0
setl_fee311f7107b41,order_6826c62d37c147,pay_76b967b24fd94a,2026-11-27,2026-11-28,1469.88,29.4,5.29,0.0,0.0
setl_fee311f7107b41,order_7933d5a591f044,pay_1abace2e463e4e,2026-11-26,2026-11-28,18491.44,369.83,66.57,0.0,0.0
setl_fee311f7107b41,order_7aa9c1050fc049,pay_ab80874aa33947,2026-11-27,2026-11-28,33817.39,676.35,121.74,0.0,0.0
setl_fee311f7107b41,order_bf6ecc39626742,pay_38e00bf83fb040,2026-11-26,2026-11-28,20793.08,415.86,74.85,1297.23,0.0
setl_d9955c44412645,order_964fab5f1e2844,pay_884ee857990b46,2026-11-29,2026-11-30,19360.15,387.2,69.7,0.0,0.0
setl_d9955c44412645,order_8385b1c0f9af45,pay_bccf5f85bef348,2026-11-29,2026-11-30,44698.63,893.97,160.91,0.0,0.0
setl_d9955c44412645,order_e0565e8b72c748,pay_1d8be5aed29a4e,2026-11-28,2026-11-30,6621.45,132.43,23.84,0.0,0.0
setl_d9955c44412645,order_7cf24969918846,pay_2dca5aacd54d4c,2026-11-28,2026-11-30,28515.75,570.32,102.66,0.0,0.0
setl_0807a6adbc344c,order_f939a4dcafc44c,pay_c73ed1ebb33346,2026-11-30,2026-12-02,33067.06,661.34,119.04,0.0,0.0
setl_0807a6adbc344c,order_e4106db9d79646,pay_495d69b4d5144f,2026-12-01,2026-12-02,4473.2,89.46,16.1,0.0,0.0
setl_0807a6adbc344c,order_9922cd2c6f594f,pay_75c0e2c5442847,2026-11-30,2026-12-02,20482.93,409.66,73.74,0.0,0.0
setl_ef62e7c898b641,order_0bdcf4562a9d4c,pay_6240c9ca954743,2026-12-03,2026-12-04,31933.49,638.67,114.96,0.0,0.0
setl_ef62e7c898b641,order_ab1c2ad9f9d141,pay_5207714174384f,2026-12-03,2026-12-04,25640.25,512.81,92.31,0.0,0.0
setl_ef62e7c898b641,order_5eaa1c341ab144,pay_e7f13b17be194d,2026-12-03,2026-12-04,26727.72,534.55,96.22,0.0,0.0
setl_ef62e7c898b641,order_8c13b66e04864f,pay_c2e7b35b160f4d,2026-12-03,2026-12-04,15579.47,311.59,56.09,0.0,1730.32
setl_ef62e7c898b641,order_8f7ef8d989f840,pay_cc403dd0cbb148,2026-12-02,2026-12-04,12528.93,250.58,45.1,0.0,0.0
setl_ef62e7c898b641,order_8430d64291d24c,pay_0d3400b4d3594f,2026-12-03,2026-12-04,40230.01,804.6,144.83,0.0,0.0
setl_9cb6238b1d184b,order_07a5573597ee4f,pay_72fcc8fd0a7944,2026-11-28,2026-12-06,19116.69,382.33,68.82,0.0,0.0
setl_9cb6238b1d184b,order_e69cedd725904c,pay_16a5a8cf061540,2026-11-28,2026-12-06,6442.79,128.86,23.19,450.83,0.0
setl_9cb6238b1d184b,order_c5e22c9aad3944,pay_84642e88d8574c,2026-11-28,2026-12-06,12638.87,252.78,45.5,0.0,0.0
setl_5b6b137269a64d,order_2a4e44fd51784c,pay_e13e49a2ddcc40,2026-12-06,2026-12-08,19374.75,387.5,69.75,0.0,0.0
setl_5b6b137269a64d,order_06865460aaa643,pay_4bff1f7fdd9b4b,2026-12-06,2026-12-08,27694.61,553.89,99.7,0.0,885.63
setl_5b6b137269a64d,order_4fa68188a0214a,pay_32023de9362643,2026-12-06,2026-12-08,16507.71,330.15,59.43,0.0,0.0
setl_5b6b137269a64d,order_3d27c637c34747,pay_fca28d79a3fb4b,2026-12-06,2026-12-08,41403.62,828.07,149.05,0.0,0.0
setl_5b6b137269a64d,order_5aa72968603049,pay_e6f55da8f5234d,2026-12-06,2026-12-08,14583.45,291.67,52.5,0.0,0.0
setl_52ca1e15052c47,order_211f3293bea14e,pay_832164b7d3004e,2026-12-08,2026-12-10,44712.93,894.26,160.97,0.0,0.0
setl_52ca1e15052c47,order_7a14a1b210e64d,pay_4aea9b93b4fe42,2026-12-08,2026-12-10,8716.22,174.32,31.38,0.0,0.0
setl_52ca1e15052c47,order_3fe7a0b824024e,pay_92bbdf7c838f4e,2026-12-08,2026-12-10,34148.45,682.97,122.93,0.0,0.0
setl_52ca1e15052c47,order_c7b61166ca5442,pay_3c33e49c12f941,2026-12-09,2026-12-10,6862.57,137.25,24.7,0.0,457.85
setl_f3d05aaeae2445,order_a1931bcd85f243,pay_574d210d16f34e,2026-12-10,2026-12-12,8736.58,174.73,31.45,0.0,1090.98
setl_f3d05aaeae2445,order_89357fd4d77245,pay_290be0d4667f4a,2026-12-10,2026-12-12,21144.61,422.89,76.12,712.78,0.0
setl_f3d05aaeae2445,order_e46219367ecd4f,pay_12802ef028494f,2026-12-10,2026-12-12,36188.7,723.77,130.28,0.0,0.0
setl_f3d05aaeae2445,order_94fa8189f1d84f,pay_b424e51551b147,2026-12-10,2026-12-12,7919.12,158.38,28.51,0.0,0.0
setl_826d467efc7841,order_091146e36bb843,pay_d564f4abd3ba43,2026-12-12,2026-12-14,8164.38,163.29,29.39,766.77,0.0
setl_826d467efc7841,order_7b4b41dda7f64d,pay_811421ea67834e,2026-12-13,2026-12-14,4673.49,93.47,16.82,0.0,0.0
